# AGNs_file: data/AGNs-2019-03-20.dat
# morphology related data
plateifu shape agn_type radio_loudness
7495-1902 bi-conical 2 0.0
7815-6104 round 1 1.8009376182584569
7991-6104 bi-conical 2 0.0
7991-3702 round 2 0.0
8132-6101 round 2 0.0
8247-6101 conical 2 0.330003072310479
8137-3702 round 2 0.0
8141-1901 round 2 0.0
8256-12704 round 2 1.2332628659856282
8143-6101 bi-conical 2 8.29813498978744
8249-3704 round 2 2.2915633397824813
8319-12705 bi-conical 2 0.0
8341-12704 bi-conical 1 0.49020462088754996
8329-3701 conical 2 50.84323075632033
8439-6104 conical 2 1.9433477425266172
8452-1901 conical 2 0.0
8483-12703 bi-conical 2 0.0
8482-12704 conical 2 25.100245362342687
8549-12701 conical 2 1.1436821651140725
8465-12704 bi-conical 2 2.06415885812057
8552-9102 conical 2 0.0
8552-12701 bi-conical 2 0.0
8318-3704 round 2 1.4399622876769629
8318-6102 conical 2 11.959448026980048
8464-6101 conical 2 8.409958308458206
8320-3704 conical 2 0.0
8550-3704 bi-conical 2 0.43658081454342945
8606-12701 round 2 0.0
8611-3704 round 2 0.674560923654709
7992-9102 bi-conical 2 1.3196729201962436
8603-6101 conical 2 20.90046562786735
8612-12702 round 2 0.0
8612-12704 bi-conical 2 1.0961601035076014
8588-12704 bi-conical 2 0.2883158089781593
8602-12701 bi-conical 2 0.12962462858534726
8077-6103 bi-conical 2 0.0
8147-6102 round 2 0.0
8146-12705 conical 2 0.0
8084-6103 bi-conical 2 0.9716120347232308
8718-12702 bi-conical 1 0.8341841489575011
8718-12701 bi-conical 2 0.0
8725-9102 bi-conical 1 0.0
10001-6102 round 2 0.4685686332329688
8715-3702 round 1 33.618835335694946
8255-6101 bi-conical 2 1.95814233293162
8241-6102 round 1 2.1323826932640713
8241-9102 bi-conical 2 3.6201678996074866
8720-1901 round 2 0.0
8547-12701 bi-conical 2 1.1693879257926652
8978-9101 conical 2 0.0
8978-12705 conical 2 0.0
8978-6102 round 2 0.6565164502259139
8979-6102 round 2 0.0
8948-12704 bi-conical 2 1.421875899870272
8946-3701 bi-conical 2 0.0
8947-3701 bi-conical 2 0.0
8945-3703 conical 2 0.0
8597-3703 bi-conical 2 0.8995039916635371
9026-9101 bi-conical 2 0.36788076640158834
9049-1901 bi-conical 2 8.462321015697714
9002-12702 conical 2 0.0
9031-1902 round 2 0.0
9027-12704 round 2 0.7207052506275066
8982-3703 round 1 49.706595488091835
7972-6103 bi-conical 2 19.995319253231273
9025-12704 round 2 0.0
7958-9101 bi-conical 2 4.82406459625945
9195-3703 round 2 0.0
8080-12703 bi-conical 2 1.4403235855567575
9182-6102 round 2 67.31158090895886
9193-12701 bi-conical 2 0.15666805443216908
8940-12702 bi-conical 2 0.29891772596531724
9183-3703 round 1 1.685384774794003
8993-12705 bi-conical 2 1.0380240941124095
8992-3702 round 1 0.0
9485-12705 bi-conical 2 0.0
9487-3702 conical 1 0.0
8989-3703 round 2 0.0
8984-9102 conical 2 0.0
8983-12701 bi-conical 2 0.0
8311-6104 conical 1 5.389529131076284
8309-12701 bi-conical 2 1.5758653628518016
9507-12704 bi-conical 2 8.51768741400079
9507-12705 bi-conical 2 0.0
9508-12704 conical 2 1.5220508451585266
9508-3704 round 2 0.0
9024-12705 bi-conical 2 1.0415135626066785
9488-3702 bi-conical 2 0.0
9502-12703 round 2 7.6535095761981715
8990-12705 bi-conical 2 0.0
8990-9101 bi-conical 2 2.1934998958550027
8442-9102 bi-conical 2 0.0
9048-1902 round 1 1.0281910504327232
9095-12701 conical 2 0.0
9196-12703 bi-conical 2 1.3148039671201728
9881-1901 conical 2 0.0
