# AGNs_file: data/AGNs-2018-12-24.dat
# Using datacube fitting map to calculate the L[O III] 5007
plateifu LO3 LO3_err_low LO3_err_up LO3_redcorr LO3_redcorr_err_low LO3_redcorr_err_up outflow_strength outflow_strength_err
7495-1902 39.53357589544513 0.0010443936605468074 0.0012363685910618107 39.56879582639838 0.10491496246493276 0.43429448190325176 0.0 0.000619029181046748
7815-6104 42.44233489644177 7.31470201446401e-05 7.498292499236196e-05 42.532838841574296 0.01637436412675804 0.4342944819032518 0.2122765344832534 0.00015604569769751142
7991-6104 40.28487047792654 0.0003801932392764604 0.0003801932392764604 40.744094490280546 0.05855522600024188 0.43429448190325176 0.012163298730181373 0.0004612134852116067
7991-3702 39.91111781324553 0.001037135916600403 0.00105060703632304 40.448036528408394 0.04260617146333497 0.4342944819032518 0.11640616518386088 0.0022280857062226002
8132-6101 41.03331400527721 0.0018593685798337376 0.0018855557028159354 41.61300503239234 0.07759702758506591 0.4342944819032518 0.25190680089182715 0.004899025479011849
8247-6101 39.58217683298802 0.001345440841756255 0.0018951164376220051 39.92630693535044 0.07401236791113353 0.4342944819032518 0.00849913919053749 0.0009036614056076555
8137-3702 41.6445443719296 0.0005306833416520514 0.0005325513911765451 41.89273550562034 0.05463464373707536 0.4342944819032518 0.07115897016123214 0.0010336979435076575
8141-1901 40.66388257127175 0.00029210717379236673 0.00029210717379236673 40.951102082145276 0.04404909781245071 0.43429448190325176 0.02240445171376325 0.00040895683022119315
8256-12704 41.57971365167918 0.0006039097580470934 0.0006070299233586906 41.84857675400442 0.012892160096152131 0.4342944819032518 0.18805150079740832 0.001399064336844524
8143-6101 41.70282015260739 0.0004450790911005661 0.000456909419723287 42.00989984067382 0.06768101756765861 0.43429448190325176 0.10690570250794659 0.0009122217338529085
8249-3704 40.18048675698981 0.0007411097669865845 0.0007693784290017882 40.870631047832035 0.09117205015215386 0.4342944819032518 0.11194773750857197 0.0015502671140934482
8319-12705 39.91095054348 0.003579187177473024 0.004368905316020398 40.5507687530997 0.10782102819406922 0.43429448190325176 0.26524408073687 0.010007205274203785
