# AGNs_file: data/AGNs-2018-04-26.dat
# Using datacube fitting map to calculate the L[O III] 5007
plateifu LO3 LO3_err_low LO3_err_up LO3_redcorr LO3_redcorr_err_low LO3_redcorr_err_up outflow_strength outflow_strength_err
8549-12701 41.00780627885831 0.0004624367254027601 0.00047754988603920237 41.120337846665926 0.046093224001292135 0.5977215718460237 0.04105111952742548 0.0008275732988979712
8465-12704 40.77747119859639 0.0004517342793001059 0.0004791896170786741 41.000788027896135 0.08540531590896387 0.46506095544038667 0.0005132810370510401 0.00011262400347563415
8552-12701 39.93290993468103 0.001496131371135956 0.0018388189930354062 40.507548354450556 0.07121825422509057 1.0365839003665127 0.13255526271930193 0.0033215341913138577
8552-9102 40.26668414337959 0.005137904963030667 0.005377591101771309 40.3243548228578 0.044198792038965734 0.4825980232699443 0.012133968960577265 0.003431645282191218
8318-3704 40.17990113175362 0.000997914192274898 0.00100382006572559 40.2709271871335 0.10678500879003158 0.4378885162133054 0.11471261917987001 0.002086305973317462
8318-6102 41.50437299554561 0.0012017192530728957 0.0013095000928087636 41.64123070227233 0.06153044403285409 0.4871555026287927 0.09900512438215091 0.0023907658592985308
8464-6101 42.00946447497904 0.00037414838969563626 0.0003831716264932855 42.451124523473354 0.024542552782573498 0.4543810440203452 0.16594536791964895 0.0008081238085801763
8320-3704 40.064394096598484 0.000689721708526786 0.000764268487546636 40.2442673248197 0.06404883301070967 0.5665872523697912 0.03276032110325771 0.0012208503973740047
8550-3704 40.26228792794074 0.001160835756237358 0.001189391779632278 40.45982479068834 0.06754568787233675 0.49585008082611126 0.12323355649113554 0.0024812305216724713
8606-12701 40.566261520281095 0.002080125287251783 0.002163934521022845 40.994920716468094 0.09911356908541552 0.5148054929857468 0.29013520018597316 0.005794847501569723
8314-3704 39.588485804057775 0.003003565770639654 0.003058600492630894 39.781189986370514 0.08377199979785457 0.4485432114295787 0.06954035276190407 0.004719942957071344
8611-3704 39.7172934379175 0.002893906414754733 0.003254650239997583 40.06888405341008 0.0966105085243699 0.6490270762094108 0.17205921543424677 0.006654803543410781
7992-9102 41.58483067777667 0.0009260996050727063 0.0009868209061535045 41.692707623625424 0.09650092032003917 0.48347938052156425 0.3755051682050083 0.0030660873860271745
8603-6101 39.69746801371 0.0026007787912985707 0.0026007787912985707 39.820904287957326 0.10154217326593312 0.43429448190325176 0.0 0.0
8612-12704 41.461030230684 0.0001691063712954788 0.00017189553801483332 41.67836981163951 0.029049858182358664 0.4736187591004247 0.10787290378698365 0.00032815221349251437
8588-12704 40.096742011437726 0.0013791351512528417 0.0015622454404251996 40.71988299220873 0.11356149928338387 0.5070795027634446 0.21883521133656259 0.003515569820498527
8602-12701 40.09374492092974 0.0012246722918968838 0.0012844902410345737 40.33272477163448 0.06253026404935906 0.5105947001499374 0.1254299349062475 0.002471146493890864
