# the excluded, use_AGN is True, use_composite is False
plateifu ra dec z psf mangaid BPT_x BPT_y EW_Ha is_limit 
7975-12703 324.094963475 12.2363038289 0.0288791 2.59369 1-114325 -0.14103631675243378 -0.08022526651620865 3.6025919914245605 0 
7975-3701 324.152525127 10.5067325085 0.0402683 2.48686 1-114082 -0.5336725115776062 -0.39238446950912476 27.344688415527344 0 
7975-6102 323.577092837 11.2143239831 0.0341885 2.50124 1-114145 0.15369006991386414 0.45153409242630005 0.8850339651107788 0 
7975-6104 324.89155826 10.4834807378 0.0788547 2.54728 1-114465 -0.41149666905403137 -0.5919623970985413 13.224834442138672 0 
7975-12705 324.895915071 11.2049630634 0.0402895 2.52522 1-114073 -0.7142982482910156 0.03920245170593262 22.143613815307617 0 
7975-1901 323.65768 11.42181 0.0220107 2.5909 1-114303 -0.7271324992179871 0.2049620896577835 21.95150375366211 0 
7975-9101 323.742750886 11.296528361 0.0636505 2.61033 1-114306 -0.4204174280166626 -0.6266397833824158 8.556280136108398 0 
7975-12702 323.521211519 10.4218555682 0.0774097 2.55069 1-114129 -0.5185384154319763 0.25952446460723877 5.959796905517578 0 
7975-12701 323.466394588 10.0718531123 0.0879313 2.52456 1-114121 -0.05532113462686539 0.34221312403678894 1.137035846710205 0 
7990-3703 262.09934807 57.5454136595 0.0285483 2.46861 1-24357 -0.6224194765090942 0.056539617478847504 99.87358093261719 0 
7990-3704 262.074921622 56.7747795712 0.0290645 2.5287 1-24394 0.17838147282600403 0.3497803211212158 0.6631508469581604 0 
7990-12705 264.680317495 57.2392064632 0.0295157 2.45416 1-24476 -0.11305170506238937 0.21761798858642578 1.3740005493164062 0 
7990-6103 261.284844944 58.7646874219 0.0292359 2.50147 1-25688 -0.10584989190101624 0.14554429054260254 1.8948862552642822 0 
7990-6101 261.039484654 56.8744593789 0.0271715 2.53839 1-23866 -0.46963945031166077 -0.7184869050979614 8.770883560180664 0 
7990-6104 261.607611692 58.5888563574 0.026199 2.49268 1-25593 -0.4728527069091797 -0.6352329254150391 56.764610290527344 0 
7990-9101 259.755481953 57.1734974561 0.0280084 2.46568 1-23914 -0.43086814880371094 -0.5483851432800293 13.74815559387207 0 
7990-6102 261.466027821 56.8520506473 0.0267901 2.53533 1-24379 -0.3848705589771271 -0.1621657758951187 6.256075382232666 0 
7990-12702 261.278551148 56.878341432 0.0283643 2.49053 1-23877 -0.16131526231765747 -0.11911965906620026 1.551964282989502 0 
7990-1902 264.522487678 57.1181655864 0.0300503 2.48831 1-634828 -0.34574154019355774 -0.5551289916038513 24.8314266204834 0 
7990-12701 263.150147507 56.8452564886 0.0297644 2.53536 1-24414 -0.4903717637062073 -0.7518243789672852 15.285677909851074 0 
7990-12703 263.635157946 58.230132368 0.0113986 2.52227 1-25517 -0.6617751717567444 -0.03254721686244011 27.830060958862305 0 
7990-1901 264.455604594 57.1107078948 0.0300175 2.60718 1-634825 0.26090770959854126 0.7892420291900635 0.8917974233627319 0 
7990-3701 260.616380035 57.1640553041 0.030415 2.50078 1-23894 -0.020842235535383224 0.559928297996521 1.0193346738815308 0 
7990-3702 262.10003999 57.002098826 0.0296945 2.49375 1-24390 -0.3221876323223114 -0.3808189630508423 9.365628242492676 0 
7990-9102 260.96305 58.32173 0.0291846 2.50719 1-25609 -0.32202228903770447 -0.3193880617618561 5.385485649108887 0 
7990-12704 262.486038254 58.3974072478 0.0268193 2.49221 1-25554 0.022166667506098747 0.3440101742744446 2.334272623062134 0 
8082-12701 48.8964560143 -1.01628610453 0.0268005 2.48903 1-604017 -0.22154739499092102 -0.15061499178409576 6.129416465759277 0 
8082-1902 50.1606436872 -1.03501853817 0.0210053 2.46788 1-604037 0.08104347437620163 0.5440321564674377 0.07469495385885239 0 
8082-1901 48.3131835428 -0.0939093232241 0.0285588 2.52176 1-38103 -0.07283012568950653 0.3529404103755951 1.4062838554382324 0 
8082-6104 50.7719951681 0.354298684137 0.0523085 2.56283 1-38217 -0.021499725058674812 0.26000747084617615 1.0163906812667847 0 
8082-9102 50.179936141 -1.0022917898 0.0361073 2.5153 1-109394 -0.23339837789535522 -0.3249916434288025 20.40827178955078 0 
8082-3701 50.1713758746 -1.17610455905 0.0212637 2.43142 1-37996 -0.7458817958831787 0.2652599513530731 12.769885063171387 0 
8082-3702 49.1085522243 0.321642725666 0.0213565 2.5708 1-37973 -0.5686631798744202 -0.05425252765417099 9.166996002197266 0 
8082-9101 48.6427236336 0.532374876049 0.0209924 2.49821 1-37965 -0.5412937998771667 -0.1780216097831726 10.803600311279297 0 
8082-6103 49.7821722131 0.955959017951 0.0238831 2.49037 1-38155 -0.4256243407726288 -0.5323224067687988 60.05369186401367 0 
8082-12702 48.4384159113 -0.241460052673 0.0259804 2.51991 1-38101 -0.19510340690612793 -0.25413262844085693 7.154124736785889 0 
8082-6101 50.1451598284 -1.09589613201 0.0213555 2.46465 1-38012 -0.5659081339836121 0.05145881325006485 8.200437545776367 0 
8082-12703 49.5116507923 -0.538961269538 0.021046 2.51922 1-38042 -0.3895176649093628 -0.45924559235572815 15.827447891235352 0 
8082-12704 49.9495621925 -0.22114540619 0.131681 2.39283 1-109308 -0.18148407340049744 0.015374882146716118 3.4604833126068115 0 
8082-6102 49.9459168383 0.584580029822 0.0241663 2.515 1-38167 0.12925982475280762 0.6590248346328735 0.9572857618331909 0 
8131-1901 112.557747581 40.8856710657 0.0723719 2.41045 1-338389 0.22647687792778015 -0.2863728702068329 0.07763697952032089 0 
8131-6104 112.416704157 41.072316326 0.101025 2.37336 1-338359 0.03620535135269165 0.47111499309539795 1.7787675857543945 0 
8131-12702 112.360263537 40.1691903443 0.0734901 2.38526 1-338305 0.2560581862926483 0.38958632946014404 0.857465386390686 0 
8131-6101 111.090757231 39.0190253819 0.0518716 2.45252 1-338034 -0.3962726593017578 -0.48167064785957336 19.09331703186035 0 
8131-9102 112.22135952 41.3078118442 0.0584527 2.41539 1-377125 0.0727289468050003 0.32642990350723267 1.180679440498352 0 
8131-9101 112.573556952 39.9420753389 0.0500247 2.41624 1-604748 -0.9660888910293579 0.344046413898468 96.72220611572266 0 
8131-12701 111.10794 38.945215 0.0171286 2.41488 1-584473 -0.6001821756362915 -0.20429334044456482 19.174068450927734 0 
8131-12703 111.675692335 41.2234616502 0.0430718 2.4371 1-377167 -0.4376925826072693 -0.4319049119949341 12.783670425415039 0 
8131-3701 111.874793014 38.699636354 0.0806724 2.48467 1-338090 -0.212031751871109 -0.12079158425331116 2.5250015258789062 0 
8131-12704 112.467749081 39.8914997875 0.0497554 2.4096 1-338113 0.06699927151203156 0.5654813051223755 1.1309291124343872 0 
8083-6102 51.1150071408 -0.0863352016678 0.0364771 2.43105 1-37995 0.28123822808265686 0.8450194597244263 1.3464593887329102 0 
8083-1902 51.2564602579 -0.192948313921 0.036589 2.43999 1-38347 -0.1195429340004921 0.2937155067920685 0.38392215967178345 0 
8083-3704 51.2847361951 -0.544948058759 0.0375518 2.37301 1-38352 -0.24593502283096313 0.050307657569646835 4.1895432472229 0 
8083-3703 50.8270977687 0.939891848291 0.0364622 2.29945 1-38214 -0.4782087504863739 -0.37306320667266846 20.885494232177734 0 
8083-6101 50.50408 -1.05393 0.0265395 2.38613 1-37980 -0.27691227197647095 0.06841322779655457 4.3429460525512695 0 
8083-3702 49.9732256506 0.391442192294 0.0238441 2.49705 1-38173 -0.4963628053665161 -0.3860188126564026 21.761905670166016 0 
