plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
7495-1902 -3.1833156970247862 217147.2409516259 -3.1833156970247862 0.1 -3.1833156970247862 0.1 1 0.4444444444444444 64 0
7815-6104 3.8788289518722197 0.047205620185049355 3.8774533212797406 0.04880249031479245 3.8137368442496076 0.05673103962533155 0 0.6081967213114754 742 0
7991-6104 3.053233354178413 0.11176838379198607 3.0139236201684803 0.1 2.835540564333214 0.1 1 1.0 153 0
7991-3702 2.9252566699123213 0.14175502334593354 2.9369107346934182 0.15172219089073455 2.6364054294950616 0.3228162604257089 0 0.8114035087719298 185 0
8132-6101 3.6126415929997013 0.13810588413108774 3.8205078236210164 0.1 -inf 0.1 1 0.4461538461538462 174 0
8247-6101 -3.296529789238322 217147.2409516259 -3.296529789238322 217147.2409516259 -3.296529789238322 217147.2409516259 0 0.281661600810537 278 0
8137-3702 3.7175337725135753 0.11057754865264985 3.830139350301145 0.09185981867606949 3.1640120834604692 0.45802506793956793 0 0.9495412844036697 414 0
8141-1901 3.1931956242082786 0.08969067835159378 3.2097515706074855 0.08925374483767891 2.9651968288051216 0.1640066889850783 0 0.9970414201183432 337 0
8143-6101 3.8064843756510354 0.08624103687653246 3.704604005976749 0.2005749401682197 3.705262351686938 0.18991596175197753 0 0.6926406926406926 480 0
8256-12704 3.6634241616653136 0.11983414344707786 3.680966030125411 0.12410629854041468 3.3496878757375708 0.2657190582041033 0 0.8859315589353612 233 0
8249-3704 3.1329573989537733 0.08851053784696754 3.0446449695143123 0.1735501048152417 2.904785481945436 0.19022157852446864 0 0.9090909090909091 490 0
8319-12705 -2.905138601923731 217147.2409516259 -2.905138601923731 0.1 -2.905138601923731 0.1 1 0.08009708737864078 66 0
8341-12704 3.1091850649572046 0.10567192649424136 3.2382480176421935 0.09535011037497845 2.0308975619824765 1.4826666922237424 0 0.07126348228043143 185 0
8439-6104 3.08785357068891 0.13810588413108774 3.2009192377961555 0.15715162063141355 2.7969385437496364 0.46532013200874045 0 0.9372294372294372 433 0
8452-1901 -3.2740887104707195 217147.2409516259 -3.2740887104707195 217147.2409516259 -3.2740887104707195 217147.2409516259 0 0.9653679653679653 223 0
8483-12703 -2.923466583360738 217147.2409516259 -2.923466583360738 217147.2409516259 -2.923466583360738 217147.2409516259 0 0.8305084745762712 98 0
