plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
10001-6102 3.224258384541426 0.06981328477097028 3.2242583845414265 0.06981328477097072 3.2242583845414265 0.06981328477097072 0 0.12669683257918551 140 1
8715-3702 3.6192029103943435 0.0581777373091419 3.619202910394343 0.058177737309142344 3.619202910394343 0.058177737309142344 0 0.9948453608247423 579 1
8255-6101 3.486264031005739 0.08483543077230282 3.4864164014176118 0.08635149722829709 3.1886598585993324 0.19384391974957557 0 0.869198312236287 206 0
8241-6102 3.298396012543489 0.08377594172516432 3.298396012543489 0.1 3.11339441452362 0.1 1 0.09318181818181819 123 1
8241-9102 3.638713761853965 0.06787251150288058 3.649988650889917 0.08109986796839092 3.525862136188349 0.12565049549960536 0 0.8883495145631068 183 0
8720-1901 3.374420347530388 0.04303580665794783 3.3785829288370195 0.04962029511058206 3.3568094570568703 0.053346398180330754 0 1.0 362 0
8547-12701 3.569353149261682 0.05399001829265491 3.5601617746265304 0.05891532778504551 3.4644259109867543 0.07527356116949457 0 0.34227467811158796 319 0
8978-9101 3.188628462253768 0.0879768472650706 3.152818961390298 0.11900373853616217 2.9281807553418457 0.2396839784964314 0 0.134648868253047 232 0
8978-12705 3.1053495516443252 0.10053113007019719 3.1053495516443252 0.1 2.9714922737739746 0.1 1 0.05731990704879938 74 1
8978-6102 3.1049295664079763 0.09286972845430597 3.10920786281165 0.11516512168681198 3.0129656009753707 0.15148835475060873 0 0.639871382636656 199 0
8979-6102 3.2001449214199846 0.09773545646432286 3.194215335537887 0.10710617348484992 2.988581343210852 0.2065562243053923 0 0.07379518072289157 98 0
8948-12704 3.4252322300070857 0.12063735608423662 3.4252322300070857 0.1 2.5140511086561346 0.1 1 0.10107816711590296 150 1
8946-3701 3.452213212810599 0.08377594172516432 3.452213212810599 0.1 3.1770645839173857 0.1 1 0.6422413793103449 149 1
8947-3701 3.449130300704368 0.0750157523316785 3.4531668197329073 0.08679094329139068 3.2289302736165597 0.1610786350009615 0 0.9142857142857143 160 0
8945-3703 3.3578086332388137 0.08907832092286687 3.3443689901052833 0.09998193697457776 3.077404979971849 0.2244055383507952 0 0.5966101694915255 176 0
8597-3703 3.3612118794917625 0.06981328477097028 3.3585321607968996 0.0830886336007607 3.3419499771325127 0.12435145552549982 0 0.9851301115241635 265 1
9026-9101 3.304214416535611 0.06981328477097028 3.304214416535611 0.1 3.1703460468955296 0.1 1 0.22285714285714286 312 1
9049-1901 3.915539123042093 0.06981328477097028 3.915539123042094 0.06981328477097161 3.812864400630988 0.12465344637120515 0 0.4952681388012618 157 1
9002-12702 3.567304436614257 0.06598597721256047 3.5197208858675797 0.163776919253502 3.453010850383025 0.2003333961473803 0 1.0 200 0
9031-1902 3.451172431797295 0.06787251150288058 3.4468747753934594 0.07527203827259452 3.2996431110806084 0.10776496025388227 0 0.6050420168067226 216 0
9027-12704 3.437937054457884 0.056559584418289774 3.4327761943023365 0.06275051833885659 3.34021835147324 0.07707567912075684 0 0.2866121935889378 456 0
8982-3703 3.319235800727224 0.10053113007019719 3.319235800727224 0.1 3.1972740482327007 0.1 1 0.979253112033195 236 1
7972-6103 3.427557463702851 0.07198370813331877 3.403580616418229 0.08242854954669873 3.213837910159022 0.1417131544631653 0 0.5683139534883721 391 0
9025-12704 3.4675206661237787 0.07331515074347443 3.4503718873318237 0.09246274173498557 3.3521641336179773 0.12409082740560512 0 0.125129265770424 242 0
7958-9101 3.393572070351295 0.06981328477097028 3.3929434484274497 0.07243766540373738 3.3042360327135736 0.11695438107486439 0 0.7146171693735499 308 1
9195-3703 3.1582418663741922 0.08377594172516432 3.1582418663741922 0.1 3.1582418663741922 0.1 1 0.1691616766467066 113 1
8080-12703 3.1779858061013977 0.06787251150288058 3.175766335340078 0.08260097610845647 3.0889612796215986 0.1085456804980709 0 0.05290418054014059 143 0
9182-6102 3.5941934784686373 0.07436554545138535 3.5941934784686373 0.1 3.107680567449279 0.1 1 1.0 175 0
9193-12701 3.241750703311115 0.03510022315988204 3.259847492739377 0.033667672053902455 3.259847492739377 0.033667672053902455 0 0.9869331283627979 1284 1
8940-12702 3.3137869469947803 0.0581777373091419 3.31378694699478 0.058177737309142344 3.31203919110833 0.06553061091701518 0 0.25679475164011245 548 1
9183-3703 3.4002524166475334 0.04165818836794998 3.3896372819333043 0.051936398667029225 3.347410707219018 0.059266530295959366 0 0.9959839357429718 744 0
8993-12705 3.377333113425074 0.05524544039420643 3.431815117326621 0.05829549226749313 3.389227986194294 0.15420883674138774 0 0.11436740528949249 320 1
8992-3702 3.1865799445412955 0.077042845431927 3.1664872912919524 0.08719620135489094 2.6910004299001598 0.34032476598288913 0 0.3278008298755187 237 0
9485-12705 3.2371260169581992 0.08377594172516432 3.2371260169581992 0.1 3.2371260169581992 0.1 1 0.03801279638690252 101 1
9487-3702 3.4789822745793884 0.07955288894244399 3.4733531548052827 0.08539993237904636 3.2001048462842374 0.1790851207954554 0 0.9446640316205533 239 0
8989-3703 3.26618597538962 0.06420283606820834 3.2314527159503914 0.07676120295685773 2.949240533130889 0.18005302277580545 0 0.5606694560669456 268 0
8984-9102 3.1022231633770203 0.09501812189962458 3.1048136206176884 0.10192593582773173 2.8042407221358077 0.24448741386694367 0 0.18010471204188483 172 0
8983-12701 3.053636955907786 0.10053113007019719 3.053636955907786 0.1 2.8548609387052197 0.1 1 0.06117159149818559 118 1
8311-6104 3.1491589230679593 0.08377594172516432 3.149158923067958 0.08377594172516566 2.9196557244279777 0.32722452130653373 0 0.11301115241635688 152 1
8309-12701 3.516979220258397 0.09122112795244998 3.516979220258397 0.1 3.2440577593476423 0.1 1 0.25 108 0
9507-12704 3.012253805228866 0.07936668163436618 3.0122538052288657 0.07936668163436662 2.981081217642568 0.1320310590833666 0 0.5733544805709754 723 1
9507-12705 3.318303302128996 0.060653039959226884 3.326935374177004 0.06645928657312032 3.2164764680492666 0.09578273335152299 0 0.3135068153655514 253 1
9508-12704 3.524073301867837 0.10708589148341834 3.5334110496927806 0.1 2.561162692303336 0.1 1 0.05086848635235732 82 0
9508-3704 3.265715003391906 0.06981328477097028 3.265715003391906 0.06981328477097028 3.137233405762745 0.1746336487948768 0 0.218562874251497 146 1
9024-12705 3.4250745710253874 0.10053113007019719 3.4250745710253874 0.10053113007019719 3.296703699619806 0.22597110742484333 0 0.07177322074788903 119 1
9488-3702 2.97788388131216 0.10802084035907747 2.974748542607994 0.11386953755386012 2.5359123161999197 0.4229128897757678 0 0.734006734006734 218 0
9502-12703 3.3436829505070964 0.0581777373091419 3.343682950507096 0.058177737309142344 3.229886746827838 0.10783966591228056 0 0.843587842846553 1138 1
8990-12705 3.447585654175125 0.059388281826925675 3.449040777771679 0.06673003517454022 3.383778480045096 0.08319218112594044 0 0.5374732334047109 251 0
8990-9101 3.0891664796234695 0.10802084035907747 3.0795462789663857 0.1261524397904588 2.854115531624718 0.2786593363014593 0 0.46750524109014674 223 0
8442-9102 3.202554911934471 0.06478785757961635 3.202554911934471 0.1 2.9570914801010337 0.1 1 0.1816816816816817 242 0
9048-1902 3.610370297817519 0.05498868377765197 3.606578103369991 0.060646310580421366 3.5335674683627945 0.07464485273062994 0 0.9972451790633609 362 0
9095-12701 3.505597845448218 0.12063735608423662 3.505597845448218 0.1 3.438671161578211 0.1 1 0.23103448275862068 67 1
9196-12703 3.6357874988498633 0.08377594172516432 3.6357874988498633 0.1 3.343611844951612 0.1 1 0.20160213618157544 151 1
9881-1901 3.101099854505003 0.10011869854557633 3.0979854931490918 0.10542190714475602 2.8289257240718473 0.21798630911968964 0 0.5 108 0
