# the excluded, use_AGN is True, use_composite is False
plateifu ra dec mangaid BPT_x BPT_y EW_Ha is_limit edge_on 
7977-12703 333.201842347 13.334120927 1-115162 -0.11747284233570099 -0.06246594712138176 2.9624781608581543 0 0 
7977-12704 332.418270109 13.6358085465 1-636015 -0.09440694004297256 -0.13062924146652222 12.991013526916504 0 0 
7975-9101 323.742750886 11.296528361 1-114306 -0.4194590747356415 -0.6201211810112 8.427316665649414 0 0 
7975-1902 324.259707865 11.9062032693 1-114334 -0.29040223360061646 0.2071511447429657 2.6876068115234375 0 0 
7975-3704 324.833648832 10.54076696 1-550578 0.04341105744242668 0.5782818794250488 1.1465439796447754 0 0 
7975-12702 323.521211519 10.4218555682 1-114129 -0.5138866901397705 0.2580038011074066 6.289881706237793 0 0 
7975-3701 324.152525127 10.5067325085 1-114082 -0.5337274074554443 -0.3984105587005615 27.32455062866211 0 0 
7975-6102 323.577092837 11.2143239831 1-114145 0.16360804438591003 0.4910568296909332 0.8734891414642334 0 0 
7975-12704 324.586417578 11.3486728499 1-114454 -0.2152220904827118 -0.1845616102218628 21.572551727294922 0 0 
7975-6104 324.89155826 10.4834807378 1-114465 -0.4106987714767456 -0.6006185412406921 13.064002990722656 0 0 
7975-1901 323.65768 11.42181 1-114303 -0.7290295362472534 0.20329007506370544 22.34491729736328 0 0 
7975-9102 324.548678082 12.1942577854 1-114500 -0.4657439589500427 -0.4888797402381897 27.66435432434082 0 0 
7975-12705 324.895915071 11.2049630634 1-114073 -0.7143576145172119 0.03214956074953079 22.151750564575195 0 0 
7975-12701 323.466394588 10.0718531123 1-114121 -0.05376580357551575 0.2859005928039551 1.1272227764129639 0 0 
7975-12703 324.094963475 12.2363038289 1-114325 -0.1367368847131729 -0.08553144335746765 3.5751304626464844 0 0 
7990-6103 261.284844944 58.7646874219 1-25688 -0.10551340878009796 0.14934377372264862 1.838495135307312 0 0 
7990-6101 261.039484654 56.8744593789 1-23866 -0.4698972702026367 -0.7218399047851562 8.77077579498291 0 0 
7990-12704 262.486038254 58.3974072478 1-25554 0.020204002037644386 0.35038870573043823 2.3549327850341797 0 0 
7990-6104 261.607611692 58.5888563574 1-25593 -0.47297772765159607 -0.6428143382072449 56.98036575317383 0 0 
7990-6102 261.466027821 56.8520506473 1-24379 -0.3809831142425537 -0.15745460987091064 6.271204948425293 0 0 
7990-9101 259.755481953 57.1734974561 1-23914 -0.42709028720855713 -0.5405145287513733 13.8607759475708 0 0 
7990-12702 261.278551148 56.878341432 1-23877 -0.1645427644252777 -0.11977702379226685 1.5571452379226685 0 0 
7990-12705 264.680317495 57.2392064632 1-24476 -0.10680132359266281 0.22653424739837646 1.37701416015625 0 0 
7990-9102 260.96305 58.32173 1-25609 -0.33210277557373047 -0.3156365752220154 5.389949321746826 0 0 
7990-12701 263.150147507 56.8452564886 1-24414 -0.4921357035636902 -0.7588736414909363 15.338902473449707 0 0 
7990-12703 263.635157946 58.230132368 1-25517 -0.6612303256988525 -0.03147374466061592 27.638744354248047 0 0 
7990-3703 262.09934807 57.5454136595 1-24357 -0.6211286783218384 0.05527455732226372 99.54388427734375 0 0 
7990-1902 264.522487678 57.1181655864 1-634828 -0.3459772765636444 -0.5699355602264404 24.51007652282715 0 0 
7990-1901 264.455604594 57.1107078948 1-634825 0.26237982511520386 0.6755322217941284 0.9174567461013794 0 0 
7990-3701 260.616380035 57.1640553041 1-23894 -0.01574588753283024 0.5641438961029053 1.0143290758132935 0 0 
7990-3702 262.10003999 57.002098826 1-24390 -0.3255078196525574 -0.3764839768409729 9.367704391479492 0 0 
7990-3704 262.074921622 56.7747795712 1-24394 0.18232965469360352 0.38025665283203125 0.6589571833610535 0 0 
8082-1902 50.1606436872 -1.03501853817 1-604037 0.1245080977678299 0.5598188638687134 0.09776654094457626 0 0 
8082-3701 50.1713758746 -1.17610455905 1-37996 -0.7465000748634338 0.26051193475723267 12.685728073120117 0 0 
8082-6104 50.7719951681 0.354298684137 1-38217 0.002951089758425951 0.2211541384458542 0.9737569689750671 0 0 
8082-1901 48.3131835428 -0.0939093232241 1-38103 -0.08586683124303818 0.3479795455932617 1.4014993906021118 0 0 
8082-3702 49.1085522243 0.321642725666 1-37973 -0.5677742958068848 -0.05515892803668976 9.20727825164795 0 0 
8082-6103 49.7821722131 0.955959017951 1-38155 -0.4256308078765869 -0.5355072021484375 60.08945083618164 0 0 
8082-6102 49.9459168383 0.584580029822 1-38167 0.12610481679439545 0.6746540665626526 0.955778956413269 0 0 
8082-6101 50.1451598284 -1.09589613201 1-38012 -0.5649452209472656 0.049050841480493546 8.153495788574219 0 0 
8082-9101 48.6427236336 0.532374876049 1-37965 -0.5405442714691162 -0.17222152650356293 10.841175079345703 0 0 
8082-12704 49.9495621925 -0.22114540619 1-109308 -0.183556467294693 0.02344365045428276 3.4239625930786133 0 0 
8082-9102 50.179936141 -1.0022917898 1-109394 -0.23472857475280762 -0.3227117657661438 20.39185333251953 0 0 
8082-12702 48.4384159113 -0.241460052673 1-38101 -0.19763199985027313 -0.25945571064949036 7.1695556640625 0 0 
8082-12701 48.8964560143 -1.01628610453 1-604017 -0.22147203981876373 -0.15107737481594086 6.136384010314941 0 0 
8082-12703 49.5116507923 -0.538961269538 1-38042 -0.3897397816181183 -0.46284791827201843 15.854019165039062 0 0 
8131-3701 111.874793014 38.699636354 1-338090 -0.20652379095554352 -0.13006508350372314 2.5214221477508545 0 0 
8131-9101 112.573556952 39.9420753389 1-604748 -0.9596960544586182 0.34358400106430054 93.6527099609375 0 0 
8131-1901 112.557747581 40.8856710657 1-338389 0.2115631252527237 -0.25327926874160767 0.09548318386077881 0 0 
8131-6104 112.416704157 41.072316326 1-338359 0.06140213459730148 0.4512521028518677 1.7812609672546387 0 0 
8131-9102 112.22135952 41.3078118442 1-377125 0.08667612820863724 0.3579510450363159 1.1673811674118042 0 0 
8131-6101 111.090757231 39.0190253819 1-338034 -0.3962336480617523 -0.4866243302822113 18.75822639465332 0 0 
8131-12704 112.467749081 39.8914997875 1-338113 0.07806656509637833 0.5665724873542786 1.0951669216156006 0 0 
8131-12701 111.10794 38.945215 1-584473 -0.5963008403778076 -0.2116716057062149 18.711666107177734 0 0 
8131-12702 112.360263537 40.1691903443 1-338305 0.25868844985961914 0.4119722843170166 0.8615795373916626 0 0 
8131-12703 111.675692335 41.2234616502 1-377167 -0.4379311800003052 -0.43690061569213867 12.644878387451172 0 0 
8083-1902 51.2564602579 -0.192948313921 1-38347 -0.10453041642904282 0.39974597096443176 0.386279433965683 0 0 
8083-3703 50.8270977687 0.939891848291 1-38214 -0.4779016673564911 -0.3812330663204193 20.795658111572266 0 0 
8083-3702 49.9732256506 0.391442192294 1-38173 -0.49699944257736206 -0.3843396306037903 21.531835556030273 0 0 
8083-3701 50.1997928211 0.185604406926 1-38189 -0.1168188601732254 0.5293710827827454 1.0165092945098877 0 0 
8083-3704 51.2847361951 -0.544948058759 1-38352 -0.255260705947876 0.053158748894929886 4.22745943069458 0 0 
8083-6102 51.1150071408 -0.0863352016678 1-37995 0.28303730487823486 0.9624872803688049 1.351069688796997 0 0 
8083-6101 50.50408 -1.05393 1-37980 -0.2797316014766693 0.05720406770706177 4.394871711730957 0 0 
8083-6103 50.9401586064 0.00743315679052 1-38428 0.12477235496044159 0.6632735133171082 0.7929999232292175 0 0 
8083-9101 50.138413881 -0.339959846103 1-38017 -0.10039924830198288 -0.07611751556396484 6.2101545333862305 0 0 
8083-12705 50.1789838473 -1.10865356255 1-604039 -0.4954608082771301 -0.6484866738319397 29.747892379760742 0 0 
8083-12704 50.6967861467 0.149366137403 1-604053 -0.01712995581328869 0.13407115638256073 2.3259687423706055 0 0 
8083-12703 49.9293385832 0.565477825589 1-38168 -0.43078091740608215 -0.4144199788570404 75.13459777832031 0 0 
8083-12702 50.245414 -0.367683 1-583411 -0.4318186342716217 -0.6515362858772278 20.58038330078125 0 0 
8083-12701 50.5013985806 -0.807105203712 1-38380 -0.47961440682411194 0.06678073108196259 6.906168460845947 0 0 
8138-1901 116.763969988 46.5344816505 1-339233 -0.5222631692886353 -0.24272851645946503 27.81734275817871 0 0 
8138-3702 116.097926044 44.5277414829 1-339028 0.16700899600982666 0.6732808947563171 1.2805211544036865 0 0 
8138-6102 117.144342496 44.6882851596 1-339061 -0.1679789274930954 -0.0739126056432724 3.7466609477996826 0 0 
8138-3701 118.325311619 44.8660108525 1-44216 -0.3551291227340698 -0.22498172521591187 12.664544105529785 0 0 
8138-6104 117.291419677 46.4618830471 1-339258 -0.5961076617240906 -0.2103649526834488 24.823701858520508 0 0 
8138-12705 116.913117872 44.4627901849 1-339042 -0.26903679966926575 -0.18881282210350037 4.570937156677246 0 0 
8138-3704 118.020494772 44.1614622644 1-44183 -0.41303011775016785 -0.7180993556976318 14.992337226867676 0 0 
8138-6103 117.318152949 46.2050395381 1-339138 -0.385446161031723 -0.4415956139564514 18.10445785522461 0 0 
8138-6101 115.964007538 44.7243293414 1-339010 -0.26538577675819397 0.19581811130046844 26.729265213012695 0 0 
8138-9101 117.302592541 45.5102739714 1-548136 -0.1612774133682251 0.006003816612064838 2.0238542556762695 0 0 
8138-12703 116.389688776 45.7723275492 1-339166 -0.18105517327785492 0.07428020238876343 2.2900757789611816 0 0 
8138-9102 118.328543844 45.4620260271 1-44219 -0.24965088069438934 -0.3432920575141907 7.875821113586426 0 0 
8138-12704 116.657135061 44.7905163357 1-339041 -0.3167095184326172 -0.31524887681007385 4.558467864990234 0 0 
8138-12702 115.316252031 44.9160264027 1-338963 -0.439064085483551 -0.37637022137641907 17.589048385620117 0 0 
8138-12701 115.633440402 44.2338189442 1-338829 -0.5131798982620239 -0.43702811002731323 17.246952056884766 0 0 
8081-1902 47.956254832 -0.00308683646097 1-37923 -0.4545481204986572 -0.5533526539802551 25.787137985229492 0 0 
8081-3704 49.8214420421 -0.969631342939 1-38014 -0.5692578554153442 -0.1802305430173874 76.68476867675781 0 0 
8081-6104 49.4836331115 1.04534962996 1-38136 0.10029345005750656 0.5178431868553162 0.5953881740570068 0 0 
8081-3703 50.0738407878 0.523632230733 1-109356 -0.479765921831131 -0.26214316487312317 33.92275619506836 0 0 
8081-6102 49.940137223 -0.077189233391 1-38033 0.1595412790775299 0.6377798914909363 1.6891028881072998 0 0 
8081-3702 49.9468538118 0.623822203484 1-38166 -0.421475887298584 -0.07491390407085419 2.6186065673828125 0 0 
8081-6101 49.9737624968 -1.14589957017 1-38011 -0.4754346013069153 -0.41629868745803833 22.74302101135254 0 0 
8081-6103 48.0654771418 0.24045156252 1-37936 -0.5019311308860779 -0.14155398309230804 27.364103317260742 0 0 
8081-1901 47.9148954163 0.781728582267 1-37931 -0.656287431716919 0.09105197340250015 61.22639083862305 0 0 
8081-9101 47.7721826741 -0.546537826618 1-37727 -0.3588969111442566 -0.3039003908634186 14.353923797607422 0 0 
8081-12704 49.4063653965 0.815197441981 1-38138 -0.7843571901321411 0.16270624101161957 37.44902038574219 0 0 
8081-12705 50.19091 -0.85163 1-38000 -0.4996567368507385 0.03759132698178291 2.900151252746582 0 0 
8081-9102 49.8456932706 0.823469663765 1-38160 -0.24676187336444855 -0.012226554565131664 6.314149856567383 0 0 
8081-12701 48.196618271 -1.02285447351 1-37671 0.08340360224246979 0.45754122734069824 1.1973235607147217 0 0 
8081-12703 50.3913688543 -0.178367722703 1-38398 -0.18904617428779602 -0.07193747162818909 5.467700481414795 0 0 
8081-12702 47.7587038228 -0.182277836162 1-37730 -0.681631863117218 -0.011209523305296898 11.743263244628906 0 0 
8132-3702 110.556154654 42.1836428542 1-377321 -0.5995563268661499 -0.05494929850101471 62.71002960205078 0 0 
8132-3703 111.602864657 43.0485628876 1-377576 -0.5716246366500854 -0.14226773381233215 20.959993362426758 0 0 
8132-3704 113.255207148 42.4251221385 1-338633 -0.00830112025141716 0.7912935614585876 0.8358541131019592 0 0 
8132-12705 111.936858786 42.1015119728 1-548025 -0.2818550765514374 -0.23888272047042847 5.353085041046143 0 0 
8132-9101 111.938062776 42.1806755052 1-377560 -0.47189322113990784 -0.5622080564498901 14.936674118041992 0 0 
8132-12701 110.517196768 42.4213792365 1-547999 -0.016488589346408844 0.007325110025703907 0.6255160570144653 0 0 
8132-6104 112.428340308 41.901214769 1-377508 0.13738569617271423 0.565446138381958 0.3625113368034363 0 0 
8132-1901 110.865858864 43.0516356107 1-377617 0.14448712766170502 0.13517262041568756 0.8727503418922424 0 0 
8132-12704 111.499296804 42.0166799187 1-548004 0.07007089257240295 0.4735034108161926 1.0905094146728516 0 0 
8132-6102 111.138150035 41.9506135859 1-377378 -0.27159756422042847 -0.09606745839118958 6.662644386291504 0 0 
8132-12702 110.888511167 41.4349068759 1-377221 0.08944903314113617 0.7002788782119751 1.0667693614959717 0 0 
8132-12703 113.266875521 42.4724616081 1-338629 -0.2573855519294739 -0.11372802406549454 5.393946170806885 0 0 
8133-3702 112.654605418 45.21218635 1-377990 0.17441260814666748 0.4016915559768677 0.7604823112487793 0 0 
8133-3701 112.079253021 43.3021184405 1-377686 -0.23737798631191254 -0.4883956015110016 13.826208114624023 0 0 
8133-9101 111.823845471 43.7848781245 1-377679 -0.26175031065940857 -0.260081022977829 9.25955581665039 0 0 
8133-3704 112.514768348 43.3791832689 1-377702 -1.1412935256958008 0.42529186606407166 66.54417419433594 0 0 
8133-12705 113.747217977 43.4725190638 1-377841 -0.2017209231853485 -0.3362344801425934 6.598288059234619 0 0 
8133-9102 112.721756162 43.5007438516 1-377720 -0.17923742532730103 -0.06084517762064934 4.632242202758789 0 0 
8133-12703 114.961862612 44.8043449928 1-338934 -0.30595770478248596 -0.04954146966338158 0.2626357078552246 0 0 
8133-1901 112.855930903 45.3094822197 1-377986 -0.5999884605407715 -0.1589403748512268 23.98632049560547 0 0 
8133-6103 113.284972917 44.5509699475 1-567948 0.03435472771525383 0.2710387110710144 2.2043936252593994 0 0 
8133-6102 113.302861961 44.1067181578 1-377780 -0.7074833512306213 -0.0726342499256134 16.637182235717773 0 0 
8134-3701 113.326608857 46.3481928774 1-378237 0.016064690425992012 0.2692396938800812 2.4250001907348633 0 0 
8134-12705 114.673017412 45.9436549273 1-378182 -0.4550989270210266 -0.3575379252433777 6.548680305480957 0 0 
8134-3704 115.238060984 45.2922028227 1-338911 0.0575990192592144 0.42618292570114136 1.1653691530227661 0 0 
8134-9102 116.280206992 46.0724212288 1-339163 0.17260631918907166 0.46873801946640015 2.911641836166382 0 0 
8134-12702 114.455928451 46.3976622911 1-378164 -0.4163435101509094 -0.5797459483146667 8.036056518554688 0 0 
8134-12704 114.733630043 47.4737808791 1-548076 -0.22424708306789398 -0.07751871645450592 2.4324042797088623 0 0 
8134-12703 114.4736549 47.9572200413 1-378271 -0.5045690536499023 -0.4296344518661499 20.878482818603516 0 0 
8134-12701 112.69868022 46.0101157292 1-377978 -0.5393148064613342 -0.20861150324344635 14.394719123840332 0 0 
8134-1901 113.400181444 45.9433769279 1-378039 -0.453587144613266 -0.589242696762085 32.13734817504883 0 0 
8134-6101 116.577192812 46.8175802205 1-339218 -0.1755336970090866 0.1288190484046936 1.340786099433899 0 0 
8134-6103 114.767592195 48.1290854981 1-548075 -0.5296061038970947 -0.2726728320121765 38.32975387573242 0 0 
8134-6102 114.924507865 45.912609695 1-378148 0.22858823835849762 0.7934081554412842 0.5258273482322693 0 0 
8134-6104 116.28665 47.55237 1-378373 -0.9121512770652771 0.32424435019493103 31.74125099182129 0 0 
8247-9102 137.441277003 41.9558696113 1-217041 0.26193705201148987 0.10467322170734406 1.3273463249206543 0 0 
8247-9101 136.778259104 42.5951034895 1-137730 -0.48952966928482056 -0.6906958818435669 17.52130889892578 0 0 
8247-12703 136.363181204 44.1438800822 1-137797 -0.377867728471756 -0.4691920876502991 16.75983428955078 0 0 
8247-12702 135.722564417 43.2477264356 1-137795 -0.4801267981529236 -0.5793790817260742 20.669208526611328 0 0 
8247-12701 138.275133843 43.0134634139 1-217256 -0.8250902891159058 0.07762065529823303 15.654594421386719 0 0 
8247-1901 137.06962848 42.1641416054 1-558242 -0.12149829417467117 0.21313592791557312 1.6628978252410889 0 0 
8247-6103 136.719982444 41.4082517095 1-217050 0.0291608814150095 0.5521675944328308 1.8537441492080688 0 0 
8247-6102 136.825546505 41.3884614241 1-217060 -0.40093424916267395 -0.4201756417751312 7.208057403564453 0 0 
8247-12704 136.730098431 44.121516356 1-137870 -0.3923149108886719 -0.5757782459259033 17.839414596557617 0 0 
8247-3703 136.842484254 43.275431327 1-137799 -0.019630132243037224 0.5259978771209717 0.931769609451294 0 0 
8247-6104 138.02732196 42.9545996238 1-558247 -0.07104790210723877 0.04005444794893265 5.861856937408447 0 0 
8247-12705 137.068084868 41.6391904095 1-217069 -0.4059585928916931 -0.44819122552871704 14.393646240234375 0 0 
8247-3704 136.039205522 42.3034211072 1-137714 -0.34889063239097595 0.22586797177791595 1.0621161460876465 0 0 
8247-3701 136.671423992 41.3651069434 1-585433 -0.03681108355522156 0.07317524403333664 2.3952889442443848 0 0 
8137-1902 117.093812663 43.780494376 1-43717 -0.2365456223487854 0.3083374798297882 1.6377594470977783 0 0 
8137-3701 116.703574938 43.3748383408 1-43723 0.23455941677093506 0.5401079654693604 0.7995403409004211 0 0 
8137-3703 116.854914291 43.9186203408 1-338746 0.13298165798187256 0.5150851607322693 1.1648662090301514 0 0 
8137-12705 116.475347803 43.5193898701 1-338737 -0.551751434803009 -0.33521759510040283 17.946901321411133 0 0 
8137-6104 116.967569128 43.3835000413 1-43721 0.12508541345596313 0.5936198830604553 1.1030646562576294 0 0 
8137-3704 115.641612983 44.2158591843 1-338828 -0.43657687306404114 -0.375415563583374 23.592817306518555 0 0 
8137-9102 117.038625786 43.5907001931 1-43724 -0.33523523807525635 -0.44380542635917664 9.030704498291016 0 0 
8137-12703 116.169257474 44.1444094839 1-338796 -0.21733242273330688 -0.2666971981525421 4.717585563659668 0 0 
8137-12702 115.017774246 43.0009101908 1-338697 -0.4472082257270813 -0.5673214197158813 14.670822143554688 0 0 
8137-1901 114.186282401 42.4437088861 1-338677 -0.15609338879585266 0.1345866322517395 4.266963005065918 0 0 
8137-12701 115.166941043 42.4539538291 1-338709 -0.49990853667259216 -0.4152809679508209 16.847620010375977 0 0 
8137-12704 116.335737456 43.9017733117 1-338770 -0.4907248020172119 -0.36391007900238037 10.464704513549805 0 0 
8137-6103 116.782606045 43.3140748538 1-43718 0.3158998489379883 0.5316094160079956 0.5622185468673706 0 0 
8140-3704 116.785721278 40.3929408076 1-43933 0.1128571555018425 0.4978899359703064 0.45497119426727295 0 0 
8140-6104 117.705857719 40.9463206643 1-43956 -0.5464468002319336 -0.14429166913032532 28.62752914428711 0 0 
8140-3701 116.176854635 42.3576915289 1-43702 -0.45416420698165894 -0.5492650270462036 33.46882629394531 0 0 
8140-1902 117.766031532 41.9734561578 1-43663 -0.40765807032585144 -0.5916877388954163 48.104034423828125 0 0 
8140-3702 117.412475858 42.9670738832 1-43773 -0.07946830987930298 0.17762234807014465 1.7744327783584595 0 0 
8140-6103 116.787162594 42.0787163158 1-43672 0.11155130714178085 0.48391616344451904 1.8334200382232666 0 0 
8140-6102 117.818563964 40.9520924282 1-43957 -0.48126915097236633 -0.4462640881538391 20.220991134643555 0 0 
8140-12705 118.986146494 40.5539780978 1-43849 -0.5820913314819336 -0.30063971877098083 14.757109642028809 0 0 
8140-9101 116.50721804 40.8750588227 1-43381 -0.6588659286499023 -0.18425250053405762 12.434558868408203 0 0 
8140-9102 116.742603976 42.320966989 1-43687 0.21871218085289001 0.5236182808876038 1.1113029718399048 0 0 
8140-12702 117.903193396 41.4604410103 1-43632 -0.4027078449726105 -0.4274636507034302 24.862125396728516 0 0 
8140-12703 117.898469126 42.8801150745 1-43783 0.036554016172885895 0.2447820007801056 1.8096634149551392 0 0 
8140-12704 117.923767287 42.303573518 1-43651 -0.5705786347389221 -0.18969842791557312 19.336164474487305 0 0 
8135-1901 112.662660995 38.4475863751 1-337898 -0.3589365482330322 -0.7420414090156555 26.253902435302734 0 0 
8135-1902 114.096383278 39.4382798053 1-43214 0.024064375087618828 -0.2858394384384155 134.1801300048828 0 0 
8135-3704 114.897365992 37.7515059306 1-43505 -0.5824443697929382 -0.24394920468330383 44.434051513671875 0 0 
8135-3702 114.084789596 39.8799883739 1-43229 -0.5852370858192444 -0.174605131149292 17.98827362060547 0 0 
8135-6103 113.057012986 39.5600737596 1-338220 0.19032035768032074 0.5963147282600403 0.9801620244979858 0 0 
8135-12704 114.753059381 38.1277411977 1-43506 -0.1385280191898346 0.09999893605709076 2.5876152515411377 0 0 
