plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
8318-3704 3.184187074458832 0.07264944946479095 3.1564353892027928 0.08077137617573525 3.0223898745510853 0.11952466046524103 0 0.8663366336633663 175 0
8318-6102 4.003175001720836 0.05605667396974611 3.9912254026510596 0.06233646683556916 3.9202773545867524 0.07626118095910436 0 0.7382413087934561 361 0
8464-6101 4.0205860800028 0.05243870036556339 4.058049025246822 0.05473597599215321 3.9180945137322873 0.08579046680134234 0 0.9349593495934959 345 1
8320-3704 3.1720489542200427 0.08311497843320853 3.1925245399298405 0.1 2.8886279036142564 0.1 1 0.1636060100166945 98 1
8550-3704 3.2406685928270904 0.0767818034710451 3.2386718330710154 0.1 2.9552905427059053 0.1 1 0.45555555555555555 287 1
8606-12701 3.5804780016105893 0.07394346001505439 3.6381359687531427 0.06643384199015144 3.1900621658686017 0.3200367523057321 0 0.11801242236024845 209 0
8314-3704 3.185339793635592 0.0940445947764284 3.21936247637404 0.09117773499692108 3.04960205174992 0.14121028659342874 0 0.835820895522388 224 0
8611-3704 3.1944859720338163 0.08334489538599751 3.1853809324290547 0.1 2.87316676981256 0.1 1 0.16329704510108864 105 1
7992-9102 3.9266078732273004 0.0619941968766216 3.951381920066306 0.1102151361426497 3.8387652145780846 0.1903820750444959 0 0.4282238442822384 176 1
8603-6101 3.158621308091838 0.09686593261972128 3.207769379944923 0.0935367240117348 2.969826711977791 0.18128566615092556 0 1.0 182 0
8612-12704 3.6677200739592344 0.03299003882400312 3.3739893170367528 0.1 3.2086219233728444 0.1 1 0.7547956630525438 905 0
8588-12704 3.3131493336887066 0.0661075559110894 3.4014787339645602 0.14058824392172115 3.262979760490994 0.2195315221713207 0 0.20173913043478262 232 1
8602-12701 3.2795751631542607 0.06306375821596437 3.2540693265421945 0.06836369203456244 3.132809764000146 0.0925072640862756 0 0.4227353463587922 476 0
8077-6103 3.4051575943701162 0.08300049499184048 3.3960905743997887 0.1 3.125145949345642 0.1 1 0.0711743772241993 60 1
8147-6102 3.412390285651345 0.10857362047581297 3.5326083835870605 0.1 -inf 0.1 1 0.08208092485549133 71 0
8146-12705 3.283808147325577 0.1471381254983108 3.299994908418852 0.14175502334593398 3.1185748158581044 0.21525762804382506 0 0.5141955835962145 163 0
8084-6103 3.235195326947287 0.09299129531493242 3.2792121559316607 0.1 3.041375300931174 0.1 1 0.4553191489361702 107 0
