plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
7495-1902 -3.1833156970247862 217147.2409516259 -3.1833156970247862 0.1 -3.1833156970247862 0.1 1 0.4444444444444444 64 0
7815-6104 3.8788289518722197 0.047205620185049355 3.8778100762666683 0.04873116297627073 3.813442604461224 0.05650236923260646 0 0.6081967213114754 742 0
7991-6104 3.053233354178413 0.11176838379198607 3.0139236201684803 0.1 2.835540564333214 0.1 1 1.0 153 0
7991-3702 2.9252566699123213 0.14175502334593354 2.939160559731344 0.1504110200807287 2.63018071733945 0.32250029498428207 0 0.8114035087719298 185 0
8132-6101 3.6126415929997013 0.13810588413108774 3.8205078236210164 0.1 -inf 0.1 1 0.4461538461538462 174 0
8247-6101 -3.296529789238322 217147.2409516259 -3.296529789238322 217147.2409516259 -3.296529789238322 217147.2409516259 0 0.281661600810537 278 0
8137-3702 3.7175337725135753 0.11057754865264985 3.8309574964668256 0.09229111592143151 3.1384739155506365 0.4573377274236774 0 0.9495412844036697 414 0
8141-1901 3.1931956242082786 0.08969067835159378 3.2106825815192614 0.08883828462459889 2.9670470744869384 0.16730094021585293 0 0.9970414201183432 337 0
8143-6101 3.8064843756510354 0.08624103687653246 3.729934800411025 0.1072617069404103 3.7279247421781916 0.1098260717012982 0 0.6926406926406926 480 0
8256-12704 3.6634241616653136 0.11983414344707786 3.6804527286039304 0.12395674473801266 3.356169104348667 0.2689699582761702 0 0.8859315589353612 233 0
8249-3704 3.1329573989537733 0.08851053784696754 3.081348664462645 0.15763526426397975 2.934375779762262 0.18314587200339782 0 0.9090909090909091 490 0
8319-12705 -2.905138601923731 217147.2409516259 -2.905138601923731 0.1 -2.905138601923731 0.1 1 0.08009708737864078 66 0
8341-12704 3.1091850649572046 0.10567192649424136 3.245797815245349 0.0802621795273565 1.769025753306352 1.3938792609458392 0 0.07126348228043143 185 0
8439-6104 3.08785357068891 0.13810588413108774 3.1868179343619585 0.14718901501759696 2.7616611916682174 0.6163504441193421 0 0.9372294372294372 433 0
8452-1901 -3.2740887104707195 217147.2409516259 -3.2740887104707195 217147.2409516259 -3.2740887104707195 217147.2409516259 0 0.9653679653679653 223 0
8483-12703 -2.923466583360738 217147.2409516259 -2.923466583360738 217147.2409516259 -2.923466583360738 217147.2409516259 0 0.8305084745762712 98 0
8482-12704 3.0439574489432593 0.24216483154930318 3.243529803848463 0.15294620939956036 2.684935506301591 0.5535196149698358 0 0.9938650306748467 162 0
8549-12701 3.2512374245950255 0.10528905719534921 3.320061633641265 0.09210723230654111 3.0081057190674927 0.19964601577532123 0 0.36180499597099114 449 0
8465-12704 2.8461422913527383 0.35404215138787015 3.038258209294805 0.3002218655912471 2.6446769075687344 0.6171599044585805 0 0.7950530035335689 450 0
8552-12701 2.92133793094167 0.15216757415170754 2.9985699359309903 0.20670582100024526 2.4383067777437204 0.7304738276289455 0 0.25840179238237493 346 0
8552-9102 -2.607811129095864 217147.2409516259 -2.607811129095864 0.1 -2.607811129095864 0.1 1 0.808695652173913 93 0
8318-3704 2.825165131817164 0.16605588449095077 2.8461071686559762 0.1695835861449388 2.563059484449316 0.34870935469133685 0 0.8663366336633663 175 0
8318-6102 3.6229637600092297 0.13453601752739064 3.6917322980375884 0.11924615742337812 3.3857095847663436 0.269030766060578 0 0.7382413087934561 361 0
8464-6101 3.874458044324562 0.07341418051178875 3.9082974974636735 0.07024256647861947 3.718442616940814 0.11482215216708208 0 0.9349593495934959 345 0
8320-3704 2.7627293998045066 0.21330392695248207 2.826922251976851 0.1 2.6491702089397053 0.1 1 0.1636060100166945 98 0
8550-3704 2.902212099222486 0.1673843315668783 2.906533473005128 0.1 2.741061189959741 0.1 1 0.45555555555555555 287 0
8606-12701 3.1164192197301688 0.215257628043825 3.441566233619713 0.11857867644412834 -inf nan 0 0.11801242236024845 209 0
8314-3704 -3.178080682521047 217147.2409516259 -3.178080682521047 217147.2409516259 -3.178080682521047 217147.2409516259 0 0.835820895522388 224 0
8611-3704 2.6320128650008168 0.30433514830341507 2.6698014258902165 0.1 2.618648903442835 0.1 1 0.16329704510108864 105 0
7992-9102 3.602454078716182 0.1307690090366237 3.625515184773769 0.17231744861705187 3.4112965327750495 0.3397850373906568 0 0.4282238442822384 176 0
8603-6101 -3.1919619433596287 217147.2409516259 -3.1919619433596287 217147.2409516259 -3.1919619433596287 217147.2409516259 0 1.0 182 0
