# the selected AGNs
plateifu ra dec mangaid BPT_x BPT_y EW_Ha is_limit edge_on 
7495-1902 205.044768573 26.8410410581 12-129608 -0.49598774313926697 0.6899823546409607 4.434834957122803 0 0.5 
7815-6104 319.193098655 11.0437407875 1-113712 -0.027410242706537247 0.9426983594894409 67.97575378417969 0 0 
7991-6104 258.82741019 57.6587701679 1-24148 0.24625034630298615 0.9930230975151062 6.368241786956787 0 0.5 
7991-3702 258.158751804 57.3224214281 1-23979 -0.1977314054965973 0.48275935649871826 7.548041820526123 0 0 
8132-6101 111.733682055 41.0266910782 1-548024 0.01209196075797081 0.46090805530548096 9.873613357543945 0 0 
8247-6101 136.089598316 41.4817290009 1-217022 -0.07965685427188873 0.15799376368522644 4.21174430847168 0 0 
8137-3702 115.368719754 44.4087940076 1-574402 0.08911055326461792 0.7996183037757874 15.94538402557373 0 0 
8141-1901 117.472421015 45.2484834965 1-339094 -0.10372020304203033 0.7885287404060364 7.816201686859131 0 0 
8256-12704 166.129407835 42.6245544187 1-558912 0.04632899910211563 0.7491806745529175 19.344974517822266 0 0 
8143-6101 121.014200537 40.8026129505 1-72322 0.21183359622955322 0.8274161219596863 11.604175567626953 0 0 
8249-3704 137.874763008 45.4683204593 1-137883 -0.11062366515398026 0.7287522554397583 8.257783889770508 0 0 
8319-12705 202.128436403 47.7140384144 1-234618 -0.13973881304264069 0.5454820394515991 5.759635925292969 0 1.0 
8341-12704 189.213252539 45.6511702678 1-620993 -0.016899116337299347 0.6026870012283325 16.82053565979004 0 0 
8329-3701 213.432186232 43.6624813137 1-569225 0.0014513282803818583 0.0743633583188057 10.063239097595215 0 0 
8439-6104 143.510354813 50.0274859311 1-585632 -0.07291112840175629 0.23500268161296844 7.386946678161621 0 0 
8452-1901 155.88555557 46.0577547418 1-167688 -0.11649098247289658 0.8820164203643799 4.461062431335449 0 0 
8483-12703 245.248313831 49.0017772161 1-542318 0.09020374715328217 0.6193281412124634 5.512020111083984 0 0 
8482-12704 243.581821279 50.4656106608 1-92866 0.09645772725343704 0.5911537408828735 5.902978420257568 0 0 
8549-12701 240.470870972 45.351940155 1-209980 -0.003747271839529276 0.6677247881889343 11.47729778289795 0 0 
8465-12704 198.141842919 48.3666138423 1-576537 -0.15060921013355255 0.6231998801231384 9.17308521270752 0 0.9 
8552-9102 229.308914218 44.0180313812 1-322113 0.00017095089424401522 0.11358194798231125 4.10968017578125 0 0 
8552-12701 226.431661417 44.4049023746 1-321739 -0.1350766122341156 0.5909777879714966 5.180808067321777 0 0.9 
8318-3704 197.891833505 44.9330782011 1-575704 -0.035049133002758026 0.7491849660873413 6.570655822753906 0 0 
8318-6102 197.239319048 45.9054469821 1-284293 0.025410154834389687 0.15086877346038818 44.345664978027344 0 0 
8464-6101 186.180996627 44.4107711556 1-258599 -0.23140046000480652 0.5994620323181152 47.98473358154297 0 0 
8320-3704 206.612456043 22.0767419456 1-519742 -0.16583310067653656 0.8149875402450562 7.962823867797852 0 0 
8550-3704 248.426385752 39.1851196817 1-211311 0.2744098901748657 0.7346412539482117 5.882089614868164 0 0 
8606-12701 255.029869751 37.8395021377 1-95585 0.19918955862522125 0.693557858467102 3.914008140563965 0 0 
8611-3704 262.996722074 59.9716380852 1-25725 -0.16294999420642853 0.3583308160305023 5.279904365539551 0 0 
7992-9102 254.542083999 62.4156479613 1-22948 0.20165425539016724 1.0394102334976196 10.643497467041016 0 0 
8603-6101 247.159333462 39.551266027 1-594493 0.2723304033279419 0.1479051411151886 5.563036918640137 0 0 
8612-12702 253.946381525 39.3105364276 1-96075 -0.04658091813325882 0.4536794126033783 3.7943615913391113 0 0 
8612-12704 254.564574769 39.3914635326 1-96151 0.0211902167648077 1.014358401298523 29.371362686157227 0 0.5 
8588-12704 249.557305714 40.1468209363 1-135641 0.02123306132853031 0.8040372133255005 6.738424777984619 0 0 
8602-12701 247.048170623 39.8218982679 1-569169 0.24272359907627106 0.39141517877578735 7.331216812133789 0 0 
8077-6103 39.4465871047 0.405085157798 1-109056 -0.10849146544933319 0.484603613615036 11.456171035766602 0 0 
8147-6102 118.627843459 25.8159864765 1-163831 0.1512245237827301 0.25569528341293335 5.147774696350098 0 0 
8146-12705 118.053214402 28.7725795647 1-201561 0.24548682570457458 0.47787970304489136 3.6940698623657227 0 0 
8084-6103 50.7416763778 0.0541373977095 1-38007 -0.012677021324634552 0.1484420746564865 6.017413139343262 0 0.5 
8718-12702 120.700706482 45.0345535278 1-44379 0.05206284672021866 0.8292939066886902 11.202651023864746 0 0 
8718-12701 119.182151794 44.8567085266 1-44303 -0.04438868165016174 0.7069560885429382 10.604333877563477 0 0 
