plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit
J0233 3.9828497472668944 0.19004914077420776 3.9629344389015664 0.20582404021095005 3.713284259660393 0.3695551306693378 0
J0304 3.822964430741065 0.3677495845583681 3.933937511212541 0.28482565862854 1.9253373394506235 29.052217180111075 0
J0311 3.9329232737274404 0.2834519045772793 4.006949628608829 0.1 -inf 0.1 1
J0412 4.082522830901039 0.17823446122767533 4.102497397855996 0.17483196737854906 3.2149108444718735 1.0492885667647047 0
J0753 3.7636491343181735 0.33894251861653124 3.8586246475490302 0.1 -inf 0.1 1
J0809 4.024389469684649 0.23551518542082767 4.051600906869664 0.22336114403163138 3.738766535532526 0.4920516289366483 0
J0847 3.8560386945252647 0.3081295623786648 3.919547490431692 0.2666759540853669 3.413199717882436 0.799266085561289 0
J0909 4.012139020918864 0.21789160011722836 4.043445758360878 0.20554136764459752 3.757210345100358 0.40475826057523157 0
J0924 3.8873526137639844 0.2961633657814351 3.9573007593752623 0.1 -inf 0.1 1
J0935 4.023032289876448 0.2462052303399244 4.078207055505751 0.2185070565880402 3.389683584088197 0.8928171847199564 0
J1144 4.119007694339144 0.19553236454768902 4.095043965354907 0.21551520533274748 3.9060273206258977 0.3315899043523286 0
J2214 3.8030808525436544 0.29934640389936973 3.895224776472832 0.24253391375177677 2.676303833712446 5.042894761408856 0
