plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit
J0233 4.2551442746963835 0.10152462243312725 4.227468010841585 0.11445527820689559 4.145301586869734 0.1414138072074556 0
J0304 4.19485028366854 0.15619471602210255 4.188240591565526 0.1633355143292515 3.0208879090059124 1.2217092334712567 0
J0311 4.228149693292181 0.14363257944947339 4.249060687654164 0.1 3.0839648128999455 0.1 1
J0412 4.319041546402161 0.10338867323882946 4.319943146842246 0.12171434917828262 4.17976245554546 0.22951571068479987 0
J0753 4.099441236241367 0.15643500859224518 4.099441236241367 0.1 2.712496611870792 0.1 1
J0809 4.307491068652712 0.12272055638786424 4.328780499847715 0.122318695040765 4.178248189626842 0.17857035293990553 0
J0847 4.227759420953734 0.1309220028990893 4.201600649698587 0.15264434219593856 4.007347005649098 0.3338566116521454 0
J0909 4.269703322801755 0.12041377901215249 4.287828534078099 0.11910463234166453 4.137849537700544 0.17090094770299225 0
J0924 4.173368465468519 0.15329058630898398 4.241871310084831 0.1 2.573485393394831 0.1 1
J0935 4.318506203596342 0.12468762738245098 4.326973543754663 0.13252478906148238 4.0718309272568005 0.3860329333883644 0
J1144 4.383166330049999 0.10642900855127375 4.39775089776318 0.12503079651888782 4.3107925255274075 0.16408172359923887 0
J2214 4.120050049309084 0.14427957305059713 4.135289611372324 0.14243070396199656 3.4969851670269247 0.7134565432319058 0
