plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit
J0149-0048 4.134035768724026 0.16240753936430147 4.2071157361583555 0.13833557558197548 3.99893292664954 0.22510295348212336 0
J0210-1001 4.352828248391499 0.09428031690934816 4.4438737081701 0.07754533028656863 4.398737637254477 0.08597421751059192 0
J0319-0019 4.077935656918806 0.20351813773471325 4.126240336493361 0.1 3.9133040200301754 0.1 1
J0319-0058 4.214405397861988 0.1468880346089689 4.321966382901153 0.11540431271218685 4.209874197282 0.1498220878312741 0
J0321+0016 4.461180855620099 0.08508627614634544 4.590328359854763 0.06459533434214378 4.564593419492266 0.06854461613283308 0
J0759+1339 4.320183976980057 0.11862829919881063 4.497087699357373 0.0801131475246287 4.438956295987778 0.0921517246224021 0
J0841+2042 4.225533416279552 0.14601179424717797 4.347848009061702 0.1 4.248463376925791 0.1 1
J0842+3625 4.3261122289410245 0.10357602702487681 4.3821391944897705 0.09186365070133114 4.33942172036372 0.10127932775645189 0
J0858+4417 4.169173413514661 0.12379711621392277 4.2308303145787525 0.10741220377384565 4.058773514505365 0.16134451412482653 0
J1039+4512 4.1662568290481925 0.153720021610252 4.341362175122223 0.1 3.3968795029720544 0.1 1
J1040+4745 4.260596473395186 0.10645544775120552 4.335368600537756 0.08961810652525044 4.238235166455176 0.11312592534560785 0
J0224+2750 4.080760779326609 0.10792541975655436 4.14365000030904 0.09437480796441217 4.0686975545737845 0.11281104318976125 0
J0807+4946 4.401869225167832 0.08883296349108508 4.553310989472666 0.06669112107081514 4.528072113294764 0.07107040173625398 0
J1101+4004 4.371341236934927 0.07817300674258532 4.65794846762125 0.042863900907208465 4.643588506874958 0.04438048193397139 0
